Interaction,Feynman Diagram,Amplitude,Squared Amplitude,domain
AntiPart s eps (X) AntiPart b eps (X) to AntiPart s eta (X)^(*) AntiPart b alpha (X)^(*),"Vertex V_1:AntiPart b(X_2), AntiPart b(X_4),  OffShell A(V_1), Vertex V_0:AntiPart s(X_1), AntiPart s(X_3),  OffShell A(V_0),",+ * * * NEG 1/18 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi_del b_del_3341_pv b_spi_2_pv_star s_star s + + mass_s_sq NEG s * 1/2 reg_prop,* * * 1/324 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
b eps (X)^(*) f lambda (X) to b eta (X) AntiPart g nu (X),"Vertex V_0:b(X_3), G(X_4), AntiPart  OffShell b(V_0), Vertex V_1:b(X_1), G(X_2),  OffShell b(V_1),",/ * * NEG i ^ g_2 + + + + + + * * * * p_lor gamma_lor_spi T_2_col_idx_idx_7_idx_idx_3 T_2_col_idx_idx_3_idx_idx_4_idx_6_col_col * lor p_star_idx_6_col * * lor p_col_idx_7_spi_pu_star_col_idx_4_spi_pu * * * * 1/2 p_lor gamma_lor_spi gamma_lor_spi gamma * * * lor_spi_spi T_2_col_idx_idx_7_idx_idx_3 T_2_col_idx_idx_3_idx_idx_4_idx_6_col_col * lor p_star_idx_6_col * * lor p_col_idx_7_spi_pu_star_col_idx_4_spi_pu + s * 1/2 reg_prop,+ * * * * 4/9 ^ g_4 s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 8/9 i ^ g_2 + / * * * i ^ g_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ g_2 ^ 2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop,qcd
AntiPart d eta (X) AntiPart sigma (X) to AntiPart d eps (X)^(*) AntiPart lambda (X),"Vertex V_1:AntiPart d(X_3), A(X_4),  OffShell d(V_1), Vertex V_0:A(X_2), AntiPart d(X_1), AntiPart  OffShell d(V_0),",/ * * * 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p d_spi_0_pv_star d_spi_1_pv * * * 1/2 p_lor_2 gamma_lor_spi gamma * * lor_2 s s gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p d_spi_4_pv_star d_spi_5_pv + s * 1/2 reg_prop,+ * * * * 2/81 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ 2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop,qed
t gam (X)^(*) AntiPart t del (X) to s eps (X) AntiPart s eta (X)^(*),"Vertex V_0:s(X_3), AntiPart s(X_4),  OffShell G(V_0), Vertex V_1:t(X_1), AntiPart t(X_2),  OffShell G(V_1),",+ * * * NEG 1/4 i ^ g_2 gamma / * * lor_spi_spi gamma_lor_spi_col + * * * s_idx_5_del_col_pv_s_col_idx_4_spi_pu_star t_col_idx_4_spi_pu_t_idx_5_spi_pv_star * * * * NEG 1/3 s Gdel_col_pv_s_col_idx_6_spi_pu_star t_col_idx_5_spi_pu_t_idx_5_spi_pv_star + + mass_t_sq s * 1/2 reg_prop,+ * * * NEG 1/144 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2 / * * * 1/16 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * 32/9 i ^ g_2 + + + + * ^ 2 ^ 2 * * 1/2 ^ 2 s_s * * 1/2 s_s * * 1/2 s_s * * 1/2 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop + + ^ 2 s_s * 1/2 reg_prop,qcd
t eps (X)^(*) AntiPart d gam (X) to t del (X) AntiPart d eps (X)^(*),"Vertex V_1:AntiPart d(X_2), AntiPart d(X_4),  OffShell A(V_1), Vertex V_0:t(X_1), t(X_3),  OffShell A(V_0),",+ * * * * NEG 1/6 i ^ e_2 gamma_lor_spi gamma / * * * * lor_0 s_del_2097 d_del_2097_pv d_spi_0_pv_star t_spi_1_pu t_spi_2_pu_star + + mass_t_sq NEG s * 1/2 reg_prop,* * * 1/36 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
s alpha (X)^(*) AntiPart b eps (X) to s eta (X) AntiPart b alpha (X)^(*),"Vertex V_1:AntiPart b(X_2), AntiPart b(X_4),  OffShell A(V_1), Vertex V_0:s(X_1), s(X_3),  OffShell A(V_0),",+ * * * NEG 1/18 i ^ e_2 gamma / * * * * * lor_0 s alpha_3202 gamma_lor_spi_del b_spi_1_pv_star b_del_3275_pv s s_star + + mass_s_sq NEG s * 1/2 reg_prop,* * * 1/324 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
AntiPart d eps (X) AntiPart s eps (X) to AntiPart d eta (X)^(*) AntiPart s alpha (X)^(*),"Vertex V_1:AntiPart s(X_2), AntiPart s(X_4),  OffShell A(V_1), Vertex V_0:AntiPart d(X_1), AntiPart d(X_3),  OffShell A(V_0),",+ * * * * NEG 1/18 i ^ e_2 gamma_lor_spi_del gamma / * * * * lor_0 s s d_spi_1_pv d_spi_0_pv_star s_del_1403_pv s_star + + mass_d_sq NEG s * 1/2 reg_prop,* * * 1/324 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
c gam (X)^(*) AntiPart c del (X) to s eps (X) AntiPart s eta (X)^(*),"Vertex V_1:s(X_3), AntiPart s(X_4),  OffShell G(V_1), Vertex V_0:c(X_1), AntiPart c(X_2),  OffShell G(V_0),",+ * * * NEG 1/4 i ^ g_2 gamma / * * lor_spi_spi gamma_lor_spi_col + * * * idx_7_spi_pv_star_col_idx_6_spi_pu_s_col_idx_6_spi_pu_star s_idx_7_del_col_pv * * * * NEG 1/3 idx_5_spi_pv_star_col_idx_5_spi_pu_s_col_idx_7_spi_pu_star s_idx_7_del_col_pv + + mass_c_sq s * 1/2 reg_prop,+ * * * NEG 1/144 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2 / * * * 1/16 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * 32/9 i ^ g_2 + + + + * ^ 2 ^ 2 * * 1/2 ^ 2 s_s * * 1/2 s_s * * 1/2 s_s * * 1/2 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop + + ^ 2 s_s * 1/2 reg_prop,qcd
t alpha (X)^(*) AntiPart mu (X) to t del (X) AntiPart nu (X),"Vertex V_0:A(X_2), t(X_3), AntiPart  OffShell t(V_0), Vertex V_1:t(X_1), A(X_4),  OffShell t(V_1),",/ * * i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * t_del_7729_pu t_spi_0_pu_star * * NEG 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * t_del_7731_pu t_spi_3_pu_star + s * NEG 1/2 reg_prop,+ * * * * 2 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 4 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ 2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop,qed
AntiPart e eps (X) AntiPart s eps (X) to AntiPart e eta (X)^(*) AntiPart s alpha (X)^(*),"Vertex V_1:AntiPart s(X_2), AntiPart s(X_4),  OffShell A(V_1), Vertex V_0:AntiPart e(X_1), AntiPart e(X_3),  OffShell A(V_0),",+ * * * NEG 1/6 i ^ e_2 gamma / * * * * * lor_0 s_del_4969 gamma_lor_spi e_spi_1_pv_star e_spi_2_pv s_star s_del_4969_pv + + mass_e_sq NEG s * 1/2 reg_prop,* * * 1/36 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
