Interaction,Feynman Diagram,Amplitude,Squared Amplitude
u eps (X)^(*) AntiPart u eta (X) to d alpha (X) AntiPart d beta (X)^(*),"Vertex V_1:d(X_3), AntiPart d(X_4),  OffShell G(V_1), Vertex V_0:u(X_1), AntiPart u(X_2),  OffShell G(V_0),",+ * * * NEG 1/4 i ^ g_2 gamma / * * lor_spi_del_col gamma_lor_spi_col + * * * d_col_idx_2_spi_pu_star d_col_idx_3_del_col_pv_u_col_idx_2_del_col_pu_u_idx_3_spi_pv_star * * * * NEG 1/3 d_col_idx_5_spi_pu_star d_col_idx_5_del_col_pv_u_col_idx_3_del_col_pu_u_idx_3_spi_pv_star + + mass_u_sq s * 1/2 reg_prop,+ * * * NEG 1/144 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2 / * * * 1/16 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * 32/9 i ^ g_2 + + + + * ^ 2 ^ 2 * * 1/2 ^ 2 s_s * * 1/2 s_s * * 1/2 s_s * * 1/2 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop + + ^ 2 s_s * 1/2 reg_prop
u gam (X)^(*) AntiPart u del (X) to s eps (X) AntiPart s eta (X)^(*),"Vertex V_1:s(X_3), AntiPart s(X_4),  OffShell G(V_1), Vertex V_0:u(X_1), AntiPart u(X_2),  OffShell G(V_0),",+ * * * 1/12 i ^ g_2 gamma / * * lor_spi_spi gamma_lor_spi_col + * * * s s_idx_7_del_col_pv_u_idx_2_spi_pv_star u_col_idx_2_spi_pu * * * * NEG 3 s s_idx_3_del_col_pv_u_idx_3_spi_pv_star u_col_idx_2_spi_pu + + mass_u_sq s * 1/2 reg_prop,+ * * * NEG 1/16 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2 / * * * 1/144 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * 32 i ^ g_2 + + + + * ^ 2 ^ 2 * * 1/2 ^ 2 s_s * * 1/2 s_s * * 1/2 s_s * * 1/2 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop + + ^ 2 s_s * 1/2 reg_prop
u gam (X)^(*) AntiPart u del (X) to t eps (X) AntiPart t eta (X)^(*),"Vertex V_1:t(X_3), AntiPart t(X_4),  OffShell G(V_1), Vertex V_0:u(X_1), AntiPart u(X_2),  OffShell G(V_0),",+ * * * 1/12 i ^ g_2 gamma / * * lor_spi b_spi_gamma_lor_spi + * * * t_col_idx_5_spi_pu_star t_col_idx_idx_5 b_spi_pv_u_idx_2_spi_pv_star u_col_idx_2_spi_pu * * * * NEG 3 t_col_idx_2_spi_pu_star t_col_idx_idx_3 b_spi_pv_u_idx_3_spi_pv_star u_col_idx_2_spi_pu + + mass_u_sq s * 1/2 reg_prop,+ * * * NEG 1/16 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2 / * * * 1/144 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * 32 i ^ g_2 + + + + * ^ 2 ^ 2 * * 1/2 ^ 2 s_s * * 1/2 s_s * * 1/2 s_s * * 1/2 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop + + ^ 2 s_s * 1/2 reg_prop
u eps (X)^(*) AntiPart u eta (X) to c alpha (X) AntiPart c beta (X)^(*),"Vertex V_0:c(X_3), AntiPart c(X_4),  OffShell G(V_0), Vertex V_1:u(X_1), AntiPart u(X_2),  OffShell G(V_1),",+ * * * 1/12 i ^ g_2 gamma / * * lor_spi_del_col gamma_lor_spi_col + * * * col_idx_5_spi_pu_star_col_idx_5_del_col_pv_u_idx_2_spi_pv_star u_col_idx_2_del_col_pu * * * * NEG 3_col idx_2_spi_pu_star_col_idx_3_del_col_pv_u_idx_3_spi_pv_star u_col_idx_2_del_col_pu + + mass_u_sq s * 1/2 reg_prop,+ * * * NEG 1/16 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2 / * * * 1/144 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * 32 i ^ g_2 + + + + * ^ 2 ^ 2 * * 1/2 ^ 2 s_s * * 1/2 s_s * * 1/2 s_s * * 1/2 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop + + ^ 2 s_s * 1/2 reg_prop
u gam (X)^(*) AntiPart u del (X) to b eps (X) AntiPart b eta (X)^(*),"Vertex V_1:b(X_3), AntiPart b(X_4),  OffShell G(V_1), Vertex V_0:u(X_1), AntiPart u(X_2),  OffShell G(V_0),",+ * * * 1/12 i ^ g_2 gamma / * * lor_spi b_spi_gamma_lor_spi + * * * col_idx_5_spi_pu_star_col_idx_idx_5 b_spi_pv_u_idx_2_spi_pv_star u_col_idx_2_spi_pu * * * * NEG 3_col idx_2_spi_pu_star_col_idx_idx_3 b_spi_pv_u_idx_3_spi_pv_star u_col_idx_2_spi_pu + + mass_u_sq s * 1/2 reg_prop,+ * * * NEG 1/16 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2 / * * * 1/144 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * 32 i ^ g_2 + + + + * ^ 2 ^ 2 * * 1/2 ^ 2 s_s * * 1/2 s_s * * 1/2 s_s * * 1/2 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop + + ^ 2 s_s * 1/2 reg_prop
u eps (X)^(*) AntiPart u eta (X) to b lambda (X) AntiPart c tau (X),"Vertex V_1:AntiPart u(X_2), u(X_1),  OffShell G(V_1), Vertex V_0:G(X_3), G(X_4),  OffShell G(V_0),",/ * * NEG 1/2 g + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + * * * * * * i g p_lor gamma_lor_spi T_2_col_idx_idx_3_idx_idx_3 T_2_col_idx_idx_3_col_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star u_col_idx_2_spi_pu_u_idx_3_spi_pv_star * * * * * * i g p_lor gamma_lor_spi T_2_col_idx_idx_3_idx_idx_3 T_2_col_idx_idx_3_col_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star u_col_idx_2_spi_pu_u_idx_3_spi_pv_star * * * * * * NEG i g p_lor gamma_lor_spi T_2_col_idx_idx_3_col T_2_col_idx_idx_3_idx_idx_3_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star u_col_idx_2_spi_pu_u_idx_3_spi_pv_star * * * * * * NEG i g p_lor gamma_lor_spi T_2_col_idx_idx_3_col T_2_col_idx_idx_3_idx_idx_3_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star u_col_idx_2_spi_pu_u_idx_3_spi_pv_star * * * * * * * NEG 2 i g p_lor gamma_lor_spi T_2_col_idx_idx_3_idx_idx_3 T_2_col_idx_idx_3_col_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star u_col_idx_2_spi_pu_u_idx_3_spi_pv_star * * * * * * * NEG 2 i g p_lor gamma_lor_spi T_2_col_idx_idx_3_idx_idx_3 T_2_col_idx_idx_3_col_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star u_col_idx_2_spi_pu_u_idx_3_spi_pv_star * * * * * * * 2 i g p_lor gamma_lor_spi T_2_col_idx_idx_3_col T_2_col_idx_idx_3_idx_idx_3_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star u_col_idx_2_spi_pu_u_idx_3_spi_pv_star * * * * * * * 2 i g p_lor gamma_lor_spi T_2_col_idx_idx_3_col T_2_col_idx_idx_3_idx_idx_3_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star u_col_idx_2_spi_pu_u_idx_3_spi_pv_star * * * NEG 2 i g p * * * * * lor gamma_lor_spi T_2_col_idx_idx_3_idx_idx_3 T_2_col_idx_idx_3_col_idx_6_col_col_lor p_star_idx_6_col_col * * lor p_star u_col_idx_2_spi_pu_u_idx_3_spi_pv_star * * * 2 i g p * * * * * lor gamma_lor_spi T_2_col_idx_idx_3_col T_2_col_idx_idx_3_idx_idx_3_idx_6_col_col_lor p_star_idx_6_col_col * * lor p_star u_col_idx_2_spi_pu_u_idx_3_spi_pv_star * * * * * * i g p_lor gamma_lor_spi T_2_col_idx_idx_3_idx_idx_3 T_2_col_idx_idx_3_col_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star u_col_idx_2_spi_pu_u_idx_3_spi_pv_star * * * * * * NEG i g p_lor gamma_lor_spi T_2_col_idx_idx_3_col T_2_col_idx_idx_3_idx_idx_3_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star u_col_idx_2_spi_pu_u_idx_3_spi_pv_star * * * * * * i g p_lor gamma_lor_spi T_2_col_idx_idx_3_idx_idx_3 T_2_col_idx_idx_3_col_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star u_col_idx_2_spi_pu_u_idx_3_spi_pv_star * * * * * * NEG i g p_lor gamma_lor_spi T_2_col_idx_idx_3_col T_2_col_idx_idx_3_idx_idx_3_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star u_col_idx_2_spi_pu_u_idx_3_spi_pv_star + + mass_u_sq s * 1/2 reg_prop,+ + + + + * * * * NEG 16/27 ^ g_4 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2 / * * * 1/1728 i ^ g_2 + / * * * i ^ g_2 + * 128 ^ 2 * 64 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * * 960 i ^ g_2 s_s + + ^ 2 s_s * 1/2 reg_prop + + ^ 2 s_s * 1/2 reg_prop / * * * 2/27 i ^ g_2 + / * * * i ^ g_2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * 32 i ^ g_2 + + * ^ 2 + ^ 2 * 1/2 s_s * s_s + ^ 2 * 1/2 s_s * NEG s_s + + ^ 2 s_s * 1/2 reg_prop + + ^ 2 s_s * 1/2 reg_prop / * * * NEG 1/864 i ^ g_2 + + + + / * * * i ^ g_2 + * 128 ^ 2 * 64 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * i ^ g_2 + * 128 ^ 2 * 64 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * * NEG 128 i ^ g_2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * NEG 4 i ^ g_2 + + * ^ 2 + * 128 ^ 2 * 64 s_s * s_s + * 128 ^ 2 * 64 s_s * * NEG 128 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * NEG 2048 i ^ g_2 + + * ^ 2 + ^ 2 * 1/2 s_s * s_s + ^ 2 * 1/2 s_s * NEG s_s + + ^ 2 s_s * 1/2 reg_prop + + ^ 2 s_s * 1/2 reg_prop / * * * 16/27 i ^ g_2 + + + + / * * i ^ g_2 + * ^ 2 + ^ 2 * 1/2 s_s * s_s + ^ 2 * 1/2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * * 1/1024 i ^ g_2 + * 128 ^ 2 * 64 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * i ^ g_2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * NEG 2 i ^ g_2 + * + ^ 2 * 1/2 s_s * + ^ 2 * 1/2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * i ^ g_2 + + * + ^ 2 * 1/2 s_s * + ^ 2 * 1/2 s_s * * NEG 1/2 s_s + + ^ 2 s_s * 1/2 reg_prop + + ^ 2 s_s * 1/2 reg_prop / * * * 1/864 i ^ g_2 + + + + + + / * * i ^ g_2 + * ^ 2 + * 128 ^ 2 * 64 s_s * s_s + * 128 ^ 2 * 64 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * 512 i ^ g_2 + * ^ 2 + ^ 2 * 1/2 s_s * s_s + ^ 2 * 1/2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * * 480 i ^ g_2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * 1/2 i ^ g_2 + * + * 128 ^ 2 * 64 s_s * + * 128 ^ 2 * 64 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * NEG 1024 i ^ g_2 + * + ^ 2 * 1/2 s_s * + ^ 2 * 1/2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * NEG i ^ g_2 + + * + * 128 ^ 2 * 64 s_s * + * 128 ^ 2 * 64 s_s * * NEG 64 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * 512 i ^ g_2 + + * + ^ 2 * 1/2 s_s * + ^ 2 * 1/2 s_s * * NEG 1/2 s_s + + ^ 2 s_s * 1/2 reg_prop + + ^ 2 s_s * 1/2 reg_prop
u eps (X)^(*) AntiPart u eta (X) to b lambda (X) AntiPart c tau (X),"Vertex V_0:AntiPart u(X_2), G(X_4), AntiPart  OffShell u(V_0), Vertex V_1:u(X_1), G(X_3),  OffShell u(V_1),",/ * * NEG i ^ g_2 + + + + + + * * * * p_lor gamma_lor_spi T_2_col_idx_idx_3_idx_idx_3 T_2_col_idx_idx_3_col_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star u_col_idx_2_spi_pu_u_idx_3_spi_pv_star * * NEG 1/2 p_lor gamma * * * * * lor_spi_spi gamma_lor_spi gamma_lor_spi T_2_col_idx_idx_3_idx_idx_3 T_2_col_idx_idx_3_col_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star u_col_idx_2_spi_pu_u_idx_3_spi_pv_star + s * NEG 1/2 reg_prop,+ * * * * 16/27 ^ g_4 s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * 32/27 i ^ g_2 + / * * * i ^ g_2 ^ 2 + ^ 2 * 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/2 i ^ g_2 ^ 2 + s_s * 2 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
u eps (X)^(*) AntiPart u eta (X) to b lambda (X) AntiPart c tau (X),"Vertex V_0:AntiPart u(X_2), G(X_3), AntiPart  OffShell u(V_0), Vertex V_1:u(X_1), G(X_4),  OffShell u(V_1),",/ * * i ^ g_2 + + + + + + * * * * p_lor gamma_lor_spi T_2_col_idx_idx_3_col T_2_col_idx_idx_3_idx_idx_3_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star u_col_idx_2_spi_pu_u_idx_3_spi_pv_star * * NEG 1/2 p_lor gamma * * * * * lor_spi_spi gamma_lor_spi gamma_lor_spi T_2_col_idx_idx_3_col T_2_col_idx_idx_3_idx_idx_3_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star u_col_idx_2_spi_pu_u_idx_3_spi_pv_star + s * NEG 1/2 reg_prop,+ * * * * 16/27 ^ g_4 s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * 32/27 i ^ g_2 + / * * * i ^ g_2 ^ 2 + ^ 2 * 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ g_2 ^ 2 + * 16 s_s * 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
u alpha (X)^(*) d beta (X)^(*) to u gam (X) d del (X),"Vertex V_1:d(X_2), d(X_4),  OffShell G(V_1), Vertex V_0:u(X_1), u(X_3),  OffShell G(V_0),",+ * * * 1/12 i ^ g_2 gamma / * * lor_spi_del_col gamma_lor_spi + * * * d_idx_7_del_col_pu_d_col_idx_7_spi_pu_star u_col_idx_4_spi_pu_star u_col_idx_4_spi_pu * * * * NEG 3 d_Gdel_col_pu_d_col_idx_4_spi_pu_star u_col_idx_6_spi_pu_star u_col_idx_4_spi_pu + + mass_u_sq NEG s * 1/2 reg_prop,+ * * * NEG 1/16 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2 / * * * 1/144 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * 32 i ^ g_2 + + + + * ^ 2 ^ 2 * * NEG 1/2 ^ 2 s_s * * 1/2 s_s * * NEG 1/2 ^ 2 s_s * * 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop + + ^ 2 NEG s_s * 1/2 reg_prop
u alpha (X)^(*) AntiPart d eps (X) to u eta (X) AntiPart d alpha (X)^(*),"Vertex V_1:AntiPart d(X_2), AntiPart d(X_4),  OffShell G(V_1), Vertex V_0:u(X_1), u(X_3),  OffShell G(V_0),",+ * * * NEG 1/4 i ^ g_2 gamma / * * lor_spi_del_col gamma_lor_spi_col + * * * d_idx_1_spi_pv_star d_col Gdel_col_pv_u_col_idx_1_del_col_pu_u_col_idx_6_spi_pu_star * * * * NEG 1/3 d_idx_7_spi_pv_star d_col_idx_7_del_col_pv_u_col Gdel_col_pu_u_col_idx_6_spi_pu_star + + mass_u_sq NEG s * 1/2 reg_prop,+ * * * NEG 1/144 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2 / * * * 1/16 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * 32/9 i ^ g_2 + + + + * ^ 2 ^ 2 * * NEG 1/2 ^ 2 s_s * * 1/2 s_s * * NEG 1/2 ^ 2 s_s * * 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop + + ^ 2 NEG s_s * 1/2 reg_prop
