Interaction,Feynman Diagram,Amplitude,Squared Amplitude
b eps (X)^(*) AntiPart b eta (X) to e alpha (X) AntiPart e beta (X)^(*),"Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1),",+ * * * * NEG 1/6 i ^ e_2 gamma_lor_spi gamma / * * * * lor_0 s s b_spi_2_pu b_spi_3_pv_star e_spi_0_pu_star e_spi_1_pv + + mass_b_sq s * 1/2 reg_prop,* * * 1/36 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2
b alpha (X)^(*) AntiPart b beta (X) to mu gam (X) AntiPart mu del (X)^(*),"Vertex V_0:mu(X_3), AntiPart mu(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1),",+ * * * NEG 1/6 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi b_spi_2_pu b_spi_3_pv_star mu_spi_1_pv mu_spi_0_pu_star + + mass_b_sq s * 1/2 reg_prop,* * * 1/36 ^ e_4 + + + + * * 16 ^ 2 ^ m_mu_2 * * 8 ^ m_mu_2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2
b gam (X)^(*) AntiPart b del (X) to t eps (X) AntiPart t eta (X)^(*),"Vertex V_0:t(X_3), AntiPart t(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1),",+ * * * NEG 1/6 i ^ e_2 gamma / * * * * * lor_0 s_del_258 gamma_lor_spi b_spi_1_pv_star b_spi_2_pu t_del_258_pv t_spi_0_pu_star + + mass_b_sq s * 1/2 reg_prop,* * * 1/36 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2
b alpha (X)^(*) AntiPart b beta (X) to u gam (X) AntiPart u del (X)^(*),"Vertex V_0:u(X_3), AntiPart u(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi b_spi_2_pv_star b_spi_3_pu u_spi_1_pv u_spi_0_pu_star + + mass_b_sq s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2
b alpha (X)^(*) AntiPart b beta (X) to d gam (X) AntiPart d del (X)^(*),"Vertex V_0:d(X_3), AntiPart d(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1),",+ * * * NEG 1/18 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi b_spi_2_pu b_spi_3_pv_star d_spi_1_pv d_spi_0_pu_star + + mass_b_sq s * 1/2 reg_prop,* * * 1/324 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2
b gam (X)^(*) AntiPart b del (X) to s eps (X) AntiPart s eta (X)^(*),"Vertex V_0:s(X_3), AntiPart s(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1),",+ * * * NEG 1/18 i ^ e_2 gamma / * * * * * lor_0 s b_spi gamma_lor_spi b_spi_1_pu b_spi_2_pv_star s s_star + + mass_b_sq s * 1/2 reg_prop,* * * 1/324 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2
b alpha (X)^(*) AntiPart b beta (X) to tt gam (X) AntiPart tt del (X)^(*),"Vertex V_0:tt(X_3), AntiPart tt(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi b_spi_2_pu b_spi_3_pv_star tt s_pv tt s_pu_star + + mass_b_sq s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ m_tt_2 * * 8 ^ m_tt_2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2
b alpha (X)^(*) AntiPart b beta (X) to c gam (X) AntiPart c del (X)^(*),"Vertex V_0:c(X_3), AntiPart c(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi b_spi_2_pu b_spi_3_pv_star c_spi_0_pu_star c_spi_1_pv + + mass_b_sq s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2
b eps (X)^(*) AntiPart b eta (X) to sigma (X) AntiPart lambda (X),"Vertex V_0:AntiPart b(X_2), A(X_3), AntiPart  OffShell b(V_0), Vertex V_1:b(X_1), A(X_4),  OffShell b(V_1),",/ * * * 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * ^ lor_1 p * b_spi_0_pu b_spi_1_pv_star * * NEG 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * ^ lor_1 p * b_spi_4_pu b_spi_5_pv_star + s * NEG 1/2 reg_prop,+ * * * * 1/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * 2/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ 2 + * 16 s_s * 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
b eps (X)^(*) AntiPart b eta (X) to sigma (X) AntiPart lambda (X),"Vertex V_0:AntiPart b(X_2), A(X_4), AntiPart  OffShell b(V_0), Vertex V_1:b(X_1), A(X_3),  OffShell b(V_1),",/ * * * NEG 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * ^ lor_1 p * b_spi_0_pu b_spi_1_pv_star * * NEG 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * ^ lor_1 p * b_spi_4_pu b_spi_5_pv_star + s * NEG 1/2 reg_prop,+ * * * * 1/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * 2/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ 2 + s_s * 2 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
